"subject" "activity" "variable" "mean(value)"
"subject2" "standing" "tBodyAccMeanX" 0.277911472222222
"subject2" "sitting" "tBodyAccMeanX" 0.27708735173913
"subject2" "laying" "tBodyAccMeanX" 0.281373403958333
"subject2" "walking" "tBodyAccMeanX" 0.276426586440678
"subject2" "walking_downstairs" "tBodyAccMeanX" 0.27761534806383
"subject2" "walking_upstairs" "tBodyAccMeanX" 0.247164790395833
"subject4" "standing" "tBodyAccMeanX" 0.280499745892857
"subject4" "sitting" "tBodyAccMeanX" 0.27153827992
"subject4" "laying" "tBodyAccMeanX" 0.263559214981481
"subject4" "walking" "tBodyAccMeanX" 0.278582015166667
"subject4" "walking_downstairs" "tBodyAccMeanX" 0.279965329555556
"subject4" "walking_upstairs" "tBodyAccMeanX" 0.270876696730769
"subject9" "standing" "tBodyAccMeanX" 0.282310057333333
"subject9" "sitting" "tBodyAccMeanX" 0.24832674354
"subject9" "laying" "tBodyAccMeanX" 0.2591955368
"subject9" "walking" "tBodyAccMeanX" 0.278502842115385
"subject9" "walking_downstairs" "tBodyAccMeanX" 0.295923445
"subject9" "walking_upstairs" "tBodyAccMeanX" 0.262436475714286
"subject10" "standing" "tBodyAccMeanX" 0.276650300681818
"subject10" "sitting" "tBodyAccMeanX" 0.270612056481481
"subject10" "laying" "tBodyAccMeanX" 0.280230574137931
"subject10" "walking" "tBodyAccMeanX" 0.278574076603774
"subject10" "walking_downstairs" "tBodyAccMeanX" 0.290401594315789
"subject10" "walking_upstairs" "tBodyAccMeanX" 0.267121853404255
"subject12" "standing" "tBodyAccMeanX" 0.277405834918033
"subject12" "sitting" "tBodyAccMeanX" 0.275007224901961
"subject12" "laying" "tBodyAccMeanX" 0.260113433
"subject12" "walking" "tBodyAccMeanX" 0.2771286656
"subject12" "walking_downstairs" "tBodyAccMeanX" 0.281521097391304
"subject12" "walking_upstairs" "tBodyAccMeanX" 0.272970338653846
"subject13" "standing" "tBodyAccMeanX" 0.277758431052632
"subject13" "sitting" "tBodyAccMeanX" 0.274328499591837
"subject13" "laying" "tBodyAccMeanX" 0.276716360483871
"subject13" "walking" "tBodyAccMeanX" 0.275883130350877
"subject13" "walking_downstairs" "tBodyAccMeanX" 0.294907553404255
"subject13" "walking_upstairs" "tBodyAccMeanX" 0.258203939581818
"subject18" "standing" "tBodyAccMeanX" 0.278458805890411
"subject18" "sitting" "tBodyAccMeanX" 0.27727001877193
"subject18" "laying" "tBodyAccMeanX" 0.274691576923077
"subject18" "walking" "tBodyAccMeanX" 0.273887758571429
"subject18" "walking_downstairs" "tBodyAccMeanX" 0.288439468909091
